Mean Runtime Report (sec.)  ,  ,  ,  ,  , 
Kernel                     , Base_Seq , Lambda_Seq , RAJA_Seq , Kokkos_Lambda , Kokkos_Functor
BLAS_DOT                   ,  Not run ,    Not run ,  Not run ,      0.005396 ,        Not run
BLAS_TEAM_DOT              ,  Not run ,    Not run ,  Not run ,      0.019360 ,        Not run
Sparse_SPMV:uur/dataset_0  ,  Not run ,    Not run ,  Not run ,      0.000379 ,        Not run
Sparse_SPMV:uur/dataset_1  ,  Not run ,    Not run ,  Not run ,      0.000366 ,        Not run
