Mean Runtime Report (sec.)  ,  ,  ,  ,  , 
Kernel                     , Base_Seq , Lambda_Seq , RAJA_Seq , Kokkos_Lambda , Kokkos_Functor
BLAS_DOT                   ,  Not run ,    Not run ,  Not run ,      0.005295 ,        Not run
BLAS_TEAM_DOT              ,  Not run ,    Not run ,  Not run ,      0.018623 ,        Not run
Sparse_SPMV:uur/dataset_0  ,  Not run ,    Not run ,  Not run ,      0.000388 ,        Not run
Sparse_SPMV:uur/dataset_1  ,  Not run ,    Not run ,  Not run ,      0.000382 ,        Not run
