Mean Runtime Report (sec.)  ,  ,  ,  ,  , 
Kernel                     , Base_Seq , Lambda_Seq , RAJA_Seq , Kokkos_Lambda , Kokkos_Functor
BLAS_DOT                   ,  Not run ,    Not run ,  Not run ,      0.005406 ,        Not run
BLAS_TEAM_DOT              ,  Not run ,    Not run ,  Not run ,      0.019384 ,        Not run
Sparse_SPMV:uur/dataset_0  ,  Not run ,    Not run ,  Not run ,      0.000393 ,        Not run
Sparse_SPMV:uur/dataset_1  ,  Not run ,    Not run ,  Not run ,      0.000362 ,        Not run
