Mean Runtime Report (sec.)  ,  ,  ,  ,  , 
Kernel                     , Base_Seq , Lambda_Seq , RAJA_Seq , Kokkos_Lambda , Kokkos_Functor
BLAS_DOT                   ,  Not run ,    Not run ,  Not run ,      0.006335 ,        Not run
BLAS_TEAM_DOT              ,  Not run ,    Not run ,  Not run ,      0.019150 ,        Not run
Sparse_SPMV:uur/dataset_0  ,  Not run ,    Not run ,  Not run ,      0.000502 ,        Not run
Sparse_SPMV:uur/dataset_1  ,  Not run ,    Not run ,  Not run ,      0.000474 ,        Not run
