Mean Runtime Report (sec.)  ,  ,  ,  ,  , 
Kernel                     , Base_Seq , Lambda_Seq , RAJA_Seq , Kokkos_Lambda , Kokkos_Functor
BLAS_DOT                   ,  Not run ,    Not run ,  Not run ,      0.006300 ,        Not run
BLAS_TEAM_DOT              ,  Not run ,    Not run ,  Not run ,      0.019049 ,        Not run
Sparse_SPMV:uur/dataset_0  ,  Not run ,    Not run ,  Not run ,      0.000461 ,        Not run
Sparse_SPMV:uur/dataset_1  ,  Not run ,    Not run ,  Not run ,      0.000449 ,        Not run
